948	224	7858
9644	84	2495
8706	84	26716
21387	868	9045
6085	224	10064
8649	641	29375
3229	493	23904
7561	260	3547
6657	224	4504
21780	729	28194
5876	129	22991
24473	224	21635
9038	739	2497
22766	649	3705
1585	315	9852
10037	531	26581
6344	833	1379
4687	362	7022
3545	129	4889
10390	260	21422
7518	729	1612
4228	98	7525
8151	844	25481
23386	727	8052
22171	497	3836
2643	577	7544
1012	900	22919
3106	22	22175
6559	84	25278
3705	884	22766
3427	277	3471
2651	21	998
23502	401	23493
21775	878	3696
777	84	5699
5534	232	25067
9325	753	2265
6446	868	6862
848	729	24729
8868	651	27769
10441	22	6553
5907	651	6447
4096	22	3416
5345	241	6485
8724	531	22578
10484	724	9726
8388	22	24288
1122	401	4349
1240	344	1495
4298	583	9794
9981	22	3872
6884	708	28252
2593	790	1129
8441	626	5542
3839	22	4223
550	868	2497
3639	531	21347
5709	22	1760
25113	389	24415
5076	584	27223
24039	729	234
24068	485	23477
25189	657	23910
1931	260	2498
25021	14	2422
2919	61	21190
6556	729	23052
21356	657	22809
21626	729	27519
9267	735	24402
8539	21	26326
2223	660	7904
1141	224	29700
22291	710	4043
1082	607	7366
8882	724	24063
1093	868	22256
22307	844	7383
24860	693	22187
4597	401	26179
4010	868	27861
6884	657	21237
7182	22	8663
8065	126	3114
23242	531	21017
4353	822	25232
1732	401	4164
22336	22	8366
95	389	6859
3024	844	4173
5218	844	2993
651	651	4553
6559	677	5601
7909	716	21701
6558	859	7967
1722	677	6375
3419	322	4964
7230	649	25153
3056	729	4639
9866	677	146
9162	224	25630
6378	651	740
4128	22	8591
6791	650	10206
8096	18	21989
3789	846	26900
8943	762	22025
1227	22	1927
6956	22	8077
22336	683	7907
4329	868	22743
1723	129	6991
5634	577	26536
23876	452	9609
22069	552	22351
8257	756	1998
23170	497	22568
24830	74	25696
23980	275	3820
5356	22	22024
10407	79	29013
21491	59	9171
7506	466	4453
22108	790	23960
761	729	4366
1161	729	1404
23526	868	7647
1095	260	67
22245	544	22245
118	868	3234
69	667	22477
2040	23	10458
