20367	1020	11300
20604	2036	14443
19601	1309	17251
36697	1195	35339
13481	2039	20767
11577	2039	13699
20468	1931	17819
11660	2039	20767
14858	1020	31283
18864	1272	35451
20425	1390	34116
20150	1620	18710
20987	1905	15371
12518	2013	19815
19533	1744	17034
18572	2036	20957
35724	1020	18921
16471	2036	14372
38415	942	12797
10515	1606	34784
16642	1309	19017
20980	2068	14476
20814	1428	34105
12747	1502	38043
16788	1262	20957
35665	1992	35458
18679	2038	35835
15178	1249	32497
36488	2039	16949
19975	920	18883
37246	2039	36668
20733	2039	33983
20142	2036	14282
37125	1975	36147
37978	1992	35908
15191	1323	36576
36594	920	20186
13815	2041	16505
38234	1620	11259
11691	1249	35367
19274	1186	31387
37396	1845	19002
13249	1369	14848
10818	1125	36781
17579	1169	19028
15764	1215	14740
10797	1659	13994
20057	1169	35271
37441	1323	15663
19922	2037	11106
16131	1992	35187
14077	1811	35705
17650	1769	35113
16069	1428	18698
37112	1014	19070
18270	1220	11774
39359	1659	16920
11391	1369	35399
19745	1309	20662
37039	1262	35478
37190	1324	16759
12900	1744	18106
12163	1837	12262
16028	2036	20645
14307	1714	37141
18511	2036	14986
13737	1207	37774
36440	1355	10847
10698	2036	11778
37546	1450	14444
13315	2049	32303
37281	2039	12312
12649	2041	13285
14856	2039	18141
14166	2036	12515
20137	1355	17447
38079	1348	31645
14999	1744	33567
12673	1905	32584
37293	2036	18577
13821	2036	14337
15282	1905	12071
38733	2037	33406
20133	1168	30231
11765	1606	37338
16728	1786	35836
16529	1499	36685
37367	942	15802
13198	1428	16959
17052	1785	11344
37055	1602	35887
16353	1659	18401
38540	2037	15932
20717	1020	16920
38812	1390	36175
19867	957	19955
11259	1620	13332
17167	1309	32205
15182	1896	32170
37958	2041	16532
20580	1659	18659
36530	2036	18577
11625	1786	10861
18046	1920	35627
13210	1606	36480
19699	2037	20951
14684	1125	12039
20763	2037	19835
15206	1937	11383
20451	2036	16624
10531	1786	39261
11890	1741	20384
18555	1038	15199
35833	2041	13463
15585	2036	35492
10781	920	17124
18492	965	18492
37311	1168	11509
37885	2041	12441
15812	1020	38045
37629	2039	16396
37520	2037	19118
38828	1450	34531
17059	917	18505
38646	1674	17466
11620	942	10770
14906	942	38156
38854	1650	19973
35165	920	12995
36053	1650	35619
15635	2050	36778
36527	959	14906
13786	942	20746
14751	2037	15335
12211	1769	33789
19495	2046	13263
37372	1020	15992
11744	1172	18947
20327	1714	32086
14108	1659	19242
19212	2036	13737
37925	1044	17744
19517	1755	12652
13995	1309	13334
17335	917	19748
12498	1007	17013
13266	1136	14715
12320	1975	17865
36662	1323	12861
14901	1450	16547
20345	1186	17214
13214	2043	17744
15961	942	14535
37496	1606	34359
35788	959	36303
37697	1026	15775
11043	1020	13305
11576	1786	32474
17868	2036	35226
10687	1262	14317
15583	1020	12938
11283	1135	38734
16317	2031	15986
16232	2043	35819
37533	1309	36644
20124	1601	10555
13915	2036	35478
19100	1405	14464
35244	1168	36696
38810	942	19708
12881	2009	12997
14533	1144	35739
15969	1863	15978
20152	1760	16421
19811	1428	12034
38080	970	32617
14082	1714	14617
38120	2036	16327
35695	1020	13269
39011	942	38243
15045	1186	16379
15917	2046	38561
17299	1240	14483
20054	2038	32734
13536	1731	12384
38466	1769	38808
15926	2037	38115
12344	1324	16744
36821	1741	12721
13901	2041	18270
18857	942	34920
17549	2043	39275
15298	1755	35663
17638	2041	15911
11745	1606	15061
14504	1020	14084
36096	2041	15359
20240	1510	30982
38116	2061	11899
38076	1110	18883
12543	2036	36837
12710	951	36315
20738	1289	18156
16760	1213	15344
17128	1548	38639
18569	959	17283
16913	2041	35604
37667	1136	17475
10787	942	18156
38509	2037	37293
19851	942	17383
13493	2002	35280
13344	1837	18603
14250	942	32265
11938	980	20233
12443	1883	17914
37520	2036	14337
38613	1714	17538
16375	2041	35302
15604	2048	32864
13879	959	35904
13310	1309	38256
12041	2041	33631
35467	920	30281
17142	1769	39305
18852	2042	19415
19918	1309	19344
18948	2009	11863
20261	2037	20114
38909	1215	37960
38000	2043	37313
37192	2041	36362
35682	2037	39086
36736	1778	19636
20325	1744	38490
37540	1428	12740
37949	2052	33393
18741	1020	35021
13150	1786	18777
37364	2050	38506
11937	1262	35262
37528	1556	19024
12585	1450	33854
16795	942	12242
35176	959	36900
18922	1039	12634
11711	1101	19721
12586	2036	14465
20625	2041	16532
11294	2044	37294
10515	942	36320
14871	1650	36053
35458	1355	35551
35782	1741	35569
36364	1889	31360
35307	1986	15559
10956	1489	36087
16058	980	16226
37576	1727	35218
16608	2036	18577
16876	942	18682
18806	1450	37686
18040	942	35399
13332	1620	11259
19045	2042	16648
16771	1682	11729
35287	959	37407
14102	1186	30436
11324	1741	20276
16655	1914	17110
12167	1863	30238
37417	1357	16889
12666	942	15619
20125	2039	18214
36905	2036	35492
12241	1309	20307
18258	1428	36425
36726	1262	35309
17419	2042	37302
37934	2064	18962
17722	1105	19690
17160	1866	35036
10794	959	35340
20241	2042	19725
11787	1650	18248
13250	1083	17314
15909	2075	14186
38243	1744	11870
39005	2039	35439
10757	2042	13179
20111	2036	14986
18052	1303	13785
16905	2062	17374
15468	1168	13375
20321	1650	14110
13971	959	35900
14496	2036	14372
20188	1992	19632
20388	1606	35680
38690	2038	15700
19447	2013	11567
35598	2037	37926
36548	2036	14317
13510	1451	15823
14702	970	15553
13249	942	20458
11798	1195	35231
19278	1323	36954
11045	2039	35969
17388	1450	38442
20890	1926	33641
38381	1195	20207
11262	2036	14465
10845	2041	36981
37294	1946	15698
38818	2036	35179
12053	1157	36176
15387	920	35193
37045	2037	15114
13959	2043	36168
36559	1262	15914
38695	1755	19708
18563	1020	14470
19150	970	16367
17961	942	38903
20822	1360	15478
14245	2050	15390
11420	2036	35478
37168	1659	35303
14590	1014	19051
19411	2036	14372
39644	1650	32484
20885	1000	15196
16175	2042	14488
12033	1650	35619
15831	1992	13943
20903	942	35219
18578	2048	10842
12809	1905	15047
20862	942	16514
